Source,Target,Weight
7171,7107,0.36170262819863896
7171,531,0.4025440612585993
7171,373,0.3917726146729762
7171,373,0.40187512825041793
7171,3691,0.44297908309915696
7171,1829,0.3435708305728678
7171,1877,0.44090398891065646
7171,8556,0.090521818440919
7171,1178,0.4040239740574822
7171,7687,0.3913187746733414
7171,8864,0.3969381362761339
7171,534,0.35514733097048545
7171,373,0.4547237331623882
7171,397,0.08262087307969262
7171,8513,0.4299206389383643
2712,705,0.341348485381746
2712,7715,0.4071871604675434
2712,2722,0.2668049835356362
2712,1435,0.38132457071625453
2712,6135,0.4361405478902509
2712,7725,0.4148118750798975
2712,1140,0.19600036389297423
2712,1140,0.19600036389297423
2712,1140,0.19600036389297423
2712,6653,0.2805125131970096
2712,5297,0.34232847670874267
2712,1435,0.35810140444954464
2712,421,0.3480559004995064
2712,1435,0.3432653671454408
2712,6653,0.23699856003516656
2712,1182,0.20927143389878586
2712,6653,0.36432689470947904
2712,2739,0.3027528586637079
2712,680,0.24763320302435732
2712,1179,0.2540972523512438
2712,6617,0.4221342243483262
2712,7689,0.13162422417967645
2712,1431,0.36670591930496294
2712,536,0.3096773384437716
2712,1179,0.2344401169585952
2712,1179,0.2344401169585952
7030,2623,0.49965415253434214
7030,3629,0.410765271278713
7030,328,0.15280548925812087
7030,8810,0.4728921461966624
7030,7107,0.38243257082431364
7030,507,0.25052124711145335
7030,373,0.4638257888124588
7030,373,0.4858560609592578
7030,285,0.1172269681063175
7030,2373,0.4427963755082644
7030,1829,0.462188613685454
7030,2373,0.4427963755082644
7030,2373,0.4427963755082644
7030,3629,0.3127880767870417
7030,373,0.39134305939696923
7030,8513,0.30915140098340826
7030,1026,0.2708725039296701
705,7715,0.0850255685285922
705,8877,0.3618334083002488
705,1435,0.34137355165831085
705,8877,0.3618334083002488
705,6135,0.20897591730966253
705,7725,0.29958370431685344
705,5297,0.07317092409816388
705,401,0.48457272389514133
705,1435,0.3393911742682899
705,421,0.33805397419739613
705,401,0.4361648594517266
705,1435,0.316079160629745
705,1182,0.22126659415076955
705,2739,0.3876380610268329
705,8877,0.3205276644822448
705,680,0.4877476828557714
705,1179,0.09684838873559432
705,7689,0.3955872112524051
705,1431,0.07154962662997555
705,536,0.09344926822614685
705,1179,0.10698248151716573
705,1179,0.10698248151716573
2623,3629,0.15455805858938293
2623,328,0.35747270168656486
2623,8810,0.02676475498113717
2623,7107,0.45940868685972097
2623,401,0.47524110801777997
2623,373,0.3539487888890869
2623,373,0.34046939800405474
2623,285,0.47650888589461937
2623,3691,0.41953366359027267
2623,2373,0.12661205362543546
2623,4249,0.25241539631365756
2623,2373,0.12661205362543546
2623,2373,0.12661205362543546
2623,3629,0.22921348914714912
2623,385,0.3758140444245316
2623,391,0.2547563299844142
2623,5575,0.29825626031841534
2623,8472,0.40627006074287564
2623,373,0.31156608797366253
2623,2373,0.1528290013698939
723,723,0.0
723,7207,0.3657748910404948
723,723,0.01707880755615125
723,4456,0.27020279933606933
723,7207,0.3657748910404948
723,723,0.01707880755615125
723,4456,0.27020279933606933
99,2440,0.1369726873108604
99,4826,0.1568271202542771
99,83,0.25145429547289755
99,1529,0.19663244474602634
99,80,0.39116712288106487
99,4819,0.4825108738659921
99,6753,0.07297813217293082
232,195,0.4033860649881168
232,4171,0.33488701827185696
232,497,0.28623285261178844
232,4249,0.4732124023409984
232,5905,0.22717510746358638
232,3041,0.46532380078885616
232,232,0.0
232,3738,0.3314041487284796
232,6911,0.12704749212014288
232,2550,0.42041133789060275
232,6983,0.3348236224301524
232,2136,0.3665194019448987
232,8472,0.3189943575943016
232,4928,0.25101083134049446
3629,328,0.2581032214193397
3629,8810,0.13749845324642426
3629,7107,0.3048593447757402
3629,401,0.48108548393763584
3629,373,0.20959710971932813
3629,373,0.2028269423651874
3629,285,0.4231604713399294
3629,3691,0.34996925195509876
3629,2373,0.036075140153995745
3629,4249,0.3947503883870055
3629,2373,0.036075140153995745
3629,2373,0.036075140153995745
3629,3629,0.10011059789855983
3629,385,0.45963313614757717
3629,391,0.2646853771240483
3629,5575,0.44784586207235255
3629,373,0.15786626401563117
3629,2373,0.11358364290268022
3629,8513,0.3958703874834285
6622,8915,0.04889499016556241
6622,8550,0.17920233665708996
6622,531,0.4691383505224687
6622,7669,0.3401773568324021
6622,4331,0.08625348097489818
7715,8877,0.285943890398276
7715,1435,0.320163118829007
7715,8877,0.285943890398276
7715,6135,0.14674679648299527
7715,7725,0.2617816024001169
7715,5297,0.06992505005597026
7715,1435,0.32479519275185714
7715,421,0.326237736431241
7715,401,0.4744945145068347
7715,1435,0.3032670758205875
7715,1182,0.25055645798152565
7715,2739,0.393736729995069
7715,8877,0.2386048526133746
7715,1179,0.15309076299610422
7715,7689,0.4741191718275965
7715,1431,0.0440499946646978
7715,536,0.10739225294409623
7715,1179,0.17954122474757858
7715,1179,0.17954122474757858
2440,4826,0.03435195457161424
2440,805,0.42339417305902866
2440,83,0.23066067759080183
2440,1529,0.10569653952349231
2440,80,0.3755125873744917
2440,4819,0.4260358057268875
2440,6753,0.14817233738200838
7207,723,0.37717228150452803
7207,4456,0.2655192016967812
7207,1178,0.20870955479221584
7207,8864,0.2214796627599385
7207,534,0.26173517421073644
328,8810,0.3309111712492169
328,7107,0.29019493286306014
328,507,0.4007689782186933
328,373,0.33151780077313764
328,373,0.3494376114554741
328,285,0.19249660231332505
328,2373,0.290616047591934
328,1829,0.4462088237191498
328,2373,0.290616047591934
328,2373,0.290616047591934
328,3629,0.1600616953302671
328,373,0.2540121845925101
328,2373,0.3713413175797267
328,8513,0.2756548868378876
328,1026,0.35529099919556045
4569,500,0.020175490735044984
4569,176,0.3542274803177441
4569,176,0.3542274803177441
4569,6992,0.14050788106896536
4569,8433,0.3549974962889985
4569,176,0.39157739702393746
4569,176,0.4520080394622471
4569,2208,0.31138326460360277
4569,3395,0.48454516398422653
4569,176,0.42080967801251873
4569,176,0.42080967801251873
4569,8115,0.4146938794109457
4569,176,0.3327905113227462
4569,176,0.352245113623182
4569,4569,0.0
4569,500,0.020175490735044984
4569,8433,0.3549974962889985
4569,1721,0.4151973345363571
8810,7107,0.44122579486414254
8810,401,0.49263221891493914
8810,373,0.3423468279406929
8810,373,0.3308529290578616
8810,285,0.4506248898569674
8810,3691,0.4249138144772927
8810,2373,0.11375113377338673
8810,4249,0.2604135169648794
8810,2373,0.11375113377338673
8810,2373,0.11375113377338673
8810,3629,0.2055049494123429
8810,385,0.4010489957064719
8810,391,0.27015812669355715
8810,5575,0.32202256508394966
8810,8472,0.40569688346692195
8810,373,0.2953630689706037
8810,2373,0.15507741502888633
560,1966,0.4199820069026793
560,6809,0.2103839524681046
560,176,0.4503955490394559
560,176,0.4503955490394559
560,6809,0.2566875244346769
560,8742,0.24602816599944957
560,176,0.35972279037126476
560,176,0.39954689236434976
560,7942,0.26457355234176716
560,560,0.05373878926901833
560,560,0.05373878926901833
560,3395,0.2022594657946322
560,8382,0.3760853936300157
560,176,0.46048793643357105
560,176,0.46048793643357105
560,6809,0.2566875244346769
560,176,0.48814861449013935
560,560,0.0
560,6809,0.2103839524681046
560,770,0.33346991921096614
560,1252,0.31714995374013905
8915,8550,0.1551835043625778
8915,531,0.4225995677019189
8915,7669,0.30788002221431804
8915,7687,0.4629867968995461
8915,4331,0.12109682695503445
1966,6809,0.4763004876079178
1966,6809,0.4862446868410265
1966,560,0.3949718549841551
1966,560,0.3949718549841551
1966,8382,0.48755419351321716
1966,6809,0.4862446868410265
1966,560,0.4199820069026793
1966,6809,0.4763004876079178
1966,770,0.40676207904971556
1966,1252,0.3263631433339977
8877,1435,0.2693572792743924
8877,8877,0.0
8877,6135,0.16120762568488586
8877,7725,0.19429708158613251
8877,5297,0.29936345449512974
8877,1435,0.2935031044791562
8877,421,0.3031966469952482
8877,1435,0.28960993534871987
8877,1182,0.37749016862382906
8877,2739,0.3992497088262636
8877,8877,0.07352448057871948
8877,1179,0.37604418088725816
8877,1431,0.2910666480655388
8877,536,0.31047316290874843
8877,1179,0.4178535538305777
8877,1179,0.4178535538305777
4826,805,0.43577801290589235
4826,83,0.2628877457626711
4826,1529,0.07246355993359964
4826,80,0.40669908926502
4826,4819,0.45064683894620705
4826,6753,0.17848543687841484
723,4456,0.28726350046814
6809,6809,0.04851128022326263
6809,8742,0.11387180921462157
6809,7942,0.2126571475803303
6809,560,0.1679165558341417
6809,560,0.1679165558341417
6809,3395,0.2764790032799825
6809,8382,0.1847621504021312
6809,6809,0.04851128022326263
6809,560,0.2103839524681046
6809,6809,0.0
2722,1435,0.3749696289725995
2722,7725,0.44715601059157084
2722,1140,0.30142419570334494
2722,1140,0.30142419570334494
2722,1140,0.30142419570334494
2722,6653,0.0508022406424044
2722,1435,0.34939660449015564
2722,421,0.3391407980369401
2722,1435,0.3517890941816764
2722,6653,0.07845073576562049
2722,1182,0.3253935790949848
2722,6653,0.1559035452194764
2722,2739,0.2446408194087783
2722,680,0.456547632505718
2722,1179,0.4416447103258472
2722,7689,0.36722075027636303
2722,536,0.4687563739829536
2722,1179,0.44471164363210797
2722,1179,0.44471164363210797
1435,8877,0.2693572792743924
1435,6135,0.20556965222021342
1435,7725,0.08104055829478587
1435,6653,0.425231029891363
1435,5297,0.27210723647387886
1435,1435,0.02639959912574297
1435,421,0.037348904178027414
1435,1435,0.038640017002184265
1435,6653,0.4298446122298915
1435,1182,0.19179636186884405
1435,2739,0.1306833200161766
1435,8877,0.3070804663261622
1435,1179,0.2827785218805055
1435,1431,0.2877655150851161
1435,536,0.24847398980296193
1435,1179,0.32033146346198266
1435,1179,0.32033146346198266
8877,6135,0.16120762568488586
8877,7725,0.19429708158613251
8877,5297,0.29936345449512974
8877,1435,0.2935031044791562
8877,421,0.3031966469952482
8877,1435,0.28960993534871987
8877,1182,0.37749016862382906
8877,2739,0.3992497088262636
8877,8877,0.07352448057871948
8877,1179,0.37604418088725816
8877,1431,0.2910666480655388
8877,536,0.31047316290874843
8877,1179,0.4178535538305777
8877,1179,0.4178535538305777
6135,7725,0.13093998676145638
6135,5297,0.14093754004499703
6135,1435,0.21934749725205288
6135,421,0.22481942587356804
6135,1435,0.20347933297829127
6135,1182,0.23396520607955823
6135,2739,0.31265671386498906
6135,8877,0.1458953928087129
6135,1179,0.21488077233817757
6135,1431,0.13758371907353456
6135,536,0.14928000044415818
6135,1179,0.256653921376559
6135,1179,0.256653921376559
7725,6653,0.49658763452648513
7725,5297,0.22667832703570928
7725,1435,0.10180206318405828
7725,421,0.11054624980636413
7725,1435,0.09538622368560733
7725,6653,0.49642155031868634
7725,1182,0.20832802018682328
7725,2739,0.206474666768503
7725,8877,0.22664910650695208
7725,1179,0.2622214143092107
7725,1431,0.2365841202266508
7725,536,0.21251240075110556
7725,1179,0.30402485406988783
7725,1179,0.30402485406988783
1140,1140,0.0
1140,1140,0.0
1140,6653,0.28007937609193034
1140,6653,0.22918739397184582
1140,1182,0.40180932542450243
1140,6653,0.30616836116523893
1140,2739,0.4543871510489716
1140,680,0.17769293141248477
1140,1179,0.44599747836265846
1140,6617,0.37821201599286003
