Latitude,Longitude,축종,발생두수,ID
36.3667465,128.8419833,벌-재래종,3,7407
37.2534286,128.726245,벌-재래종,2,1875
37.4250014,128.2967109,벌-재래종,1,662
35.9213983,129.1566704,벌-재래종,10,7207
35.9213983,129.1566704,벌-개량종,8,7207
37.2534286,128.726245,벌-재래종,3,1875
37.5019304,128.7080385,벌-재래종,5,2712
34.8114222,126.9428825,벌-재래종,1,2880
37.2534286,128.726245,벌-재래종,6,1875
37.4146192,128.8668205,벌-재래종,13,6102
37.7014855,127.8674722,벌-재래종,3,3597
37.4048732,128.1453026,벌-재래종,1,6568
37.7120915,127.7440552,벌-재래종,2,4190
37.8140141,128.1452309,벌-재래종,4,1048
37.0060873,128.9653695,벌-재래종,127,1891
36.4785066,129.1679121,벌-재래종,100,2743
36.4328334,128.0152246,벌-개량종,100,328
37.5019304,128.7080385,벌-재래종,17,2712
36.4571359,129.3230741,벌-재래종,141,1925
37.3873252,128.6859393,벌-재래종,9,7689
37.4515774,127.654413,벌-재래종,4,5915
36.5095472,129.0923238,벌-재래종,3,2743
35.2075729,128.3702795,벌-재래종,31,8544
36.9395486,128.7902001,벌-재래종,15,3142
35.0286639,126.7526792,벌-재래종,1,4529
37.2597658,128.8729253,벌-재래종,1,6663
35.433975,127.6260086,벌-개량종,80,4569
35.0160601,127.0127779,벌-재래종,1,6809
35.0160601,127.0127779,벌-재래종,1,6809
36.8561157,128.8395425,벌-재래종,32,7702
37.4048732,128.1453026,벌-재래종,6,6568
37.9429407,127.4806675,벌-재래종,3,1630
37.3852166,128.3913906,벌-재래종,15,6601
37.0603106,128.3768758,벌-재래종,1,375
37.6011843,128.2265769,벌-재래종,7,656
37.9831858,127.7035317,벌-재래종,3,1702
36.7551344,128.1698493,벌-재래종,1,2623
38.1886627,128.3651816,벌-재래종,5,7134
36.7551344,128.1698493,벌-재래종,2,2623
37.8107051,128.2724166,벌-재래종,1,7109
37.348768,128.1604644,벌-재래종,2,5203
