id,학명,종,경도,위도,관찰일자,연도,지역
003000000001208725,Castanea crenata,밤나무,35.32261111,128.4839167,2016-09-22,2016,경상남도
003000000001177631,Castanea crenata,밤나무,35.485372,127.906078,2016-09-26,2016,경상남도
003000000001200286,Castanea crenata,밤나무,35.40081944,129.1373028,2016-10-10,2016,경상남도
003000000001176839,Castanea crenata,밤나무,34.79166667,127.9376083,2017-10-17,2017,경상남도
003000000001150132,Castanea crenata,밤나무,34.97271,128.38817,2017-10-26,2017,경상남도
003000000001150227,Castanea crenata,밤나무,34.99469,128.36985,2017-10-27,2017,경상남도
003000000001149818,Castanea crenata,밤나무,34.98299,128.38877,2017-04-08,2017,경상남도
003000000001072582,Castanea crenata,밤나무,34.99529444,127.8645333,2017-10-06,2017,경상남도
003000000001150064,Castanea crenata,밤나무,35.00554,128.38798,2017-10-01,2017,경상남도
003000000001150098,Castanea crenata,밤나무,35.00288,128.38683,2017-10-01,2017,경상남도
003000000001072440,Castanea crenata,밤나무,34.99037222,127.8446861,2017-04-15,2017,경상남도
003000000001176625,Castanea crenata,밤나무,34.80385,127.9174472,2017-04-15,2017,경상남도
003000000001149991,Castanea crenata,밤나무,34.98211,128.38664,2017-09-30,2017,경상남도
003000000001149898,Castanea crenata,밤나무,34.97248,128.38819,2017-09-30,2017,경상남도
003000000001099670,Castanea crenata,밤나무,34.86878889,128.0028028,2017-04-23,2017,경상남도
003000000001194212,Castanea crenata,밤나무,34.99939167,128.1040222,2017-04-23,2017,경상남도
003000000001122162,Castanea crenata,밤나무,34.97176,128.26576,2017-09-01,2017,경상남도
003000000001122223,Castanea crenata,밤나무,34.95245,128.29239,2017-09-02,2017,경상남도
003000000001116235,Castanea crenata,밤나무,34.90034167,127.9065222,2017-05-05,2017,경상남도
003000000001122038,Castanea crenata,밤나무,34.97113,128.26736,2017-05-20,2017,경상남도
003000000001133579,Castanea crenata,밤나무,34.84769,128.40326,2017-06-17,2017,경상남도
003000000001115712,Castanea crenata,밤나무,34.83812222,127.8712194,2017-06-25,2017,경상남도
003000000001115807,Castanea crenata,밤나무,34.84574167,127.8467333,2017-06-25,2017,경상남도
003000000001182691,Castanea crenata,밤나무,35.27320556,128.9193083,2018-06-09,2018,경상남도
003000000001138633,Castanea crenata,밤나무,35.25861111,128.2863889,2018-06-16,2018,경상남도
003000000001185315,Castanea crenata,밤나무,35.22055556,128.4047222,2018-05-28,2018,경상남도
003000000001187515,Castanea crenata,밤나무,35.48125,128.5422222,2018-05-29,2018,경상남도
003000000001185801,Castanea crenata,밤나무,35.18111111,128.3958333,2018-09-29,2018,경상남도
003000000001187638,Castanea crenata,밤나무,35.47,128.5770833,2018-09-17,2018,경상남도
003000000001187762,Castanea crenata,밤나무,35.46305556,128.5388889,2018-10-01,2018,경상남도
003000000001150498,Castanea crenata,밤나무,35.29916667,128.2266667,2018-06-17,2018,경상남도
003000000001248842,Castanea crenata,밤나무,34.64500833,128.265625,2018-09-26,2018,경상남도
