Latitude,Longitude,축종,발생두수
35.6019213,127.1434343,벌-재래종,23
37.5631941,128.3127372,벌-재래종,2
34.4439909,126.5877817,벌-재래종,1
37.3411588,126.7220994,벌-재래종,1
37.5710458,127.6416006,벌-재래종,9
37.8173563,128.0004157,벌-재래종,3
37.7410335,128.0839616,벌-재래종,1
38.1922602,128.1994956,벌-재래종,3
37.9478221,128.142228,벌-재래종,1
37.7072744,128.9161633,벌-개량종,60
37.7120915,127.7440552,벌-재래종,1
37.6518777,127.74339,벌-재래종,20
37.6324523,127.7520913,벌-재래종,5
36.6536828,128.9347622,벌-재래종,1
38.0834935,128.4610259,벌-재래종,6
37.7953885,128.0466435,벌-재래종,3
37.4405188,127.8508915,벌-재래종,51
37.5066872,127.4717254,벌-재래종,2
35.5988084,127.3825703,벌-재래종,50
37.50515,128.6013888,벌-재래종,3
36.3321473,128.8067483,벌-재래종,6
37.4392596,129.1784042,벌-개량종,40
37.2140877,129.3262249,벌-개량종,20
37.2340491,129.1662579,벌-개량종,80
37.3608544,129.1989029,벌-개량종,150
35.2714721,127.8166414,벌-재래종,2
37.5847694,128.6407562,벌-개량종,40
37.5847694,128.6407562,벌-개량종,30
37.5847694,128.6407562,벌-개량종,29
37.4351307,128.1088047,벌-재래종,3
36.6966455,128.969731,벌-재래종,1
37.0060873,128.9653695,벌-재래종,1
36.9225591,128.8623667,벌-재래종,1
37.5631941,128.3127372,벌-재래종,1
37.5631941,128.3127372,벌-재래종,1
37.2534286,128.726245,벌-재래종,4
38.1681838,128.1786506,벌-재래종,5
35.6990304,127.590711,벌-재래종,18
37.7356068,128.2378592,벌-재래종,4
37.7376414,128.875436,벌-개량종,20
35.2202574,127.3881185,벌-재래종,1
37.3728454,128.4052788,벌-재래종,27
37.2220583,128.8218722,벌-재래종,5
37.2597658,128.8729253,벌-재래종,15
34.7026119,127.1659258,벌-재래종,1
34.7026119,127.1659258,벌-재래종,1
34.4608019,127.4680798,벌-재래종,1
35.1749839,126.5409272,벌-재래종,3
34.7026119,127.1659258,벌-재래종,1
34.7026119,127.1659258,벌-재래종,1
37.6544392,128.7821778,벌-재래종,1
37.7267059,126.9116461,벌-재래종,1
34.9730223,127.1427854,벌-재래종,1
37.5306149,127.5850392,벌-재래종,3
34.7026119,127.1659258,벌-재래종,1
35.8867998,128.4910476,벌-재래종,120
35.8867998,128.4910476,벌-재래종,120
37.9529831,128.1965588,벌-재래종,1
37.245738,129.0698695,벌-재래종,3
38.0087006,128.1617215,벌-재래종,4
37.5893415,127.4947634,벌-재래종,2
37.5893415,127.4947634,벌-재래종,1
37.763285,127.5286119,벌-재래종,10
36.4837622,128.8900474,벌-재래종,1
37.0060873,128.9653695,벌-재래종,1
37.0060873,128.9653695,벌-재래종,1
36.6648281,127.6731019,벌-재래종,2
36.9635809,127.9320017,벌-재래종,5
35.3338895,129.1732717,벌-재래종,3
34.7015684,127.0514942,벌-재래종,1
37.50515,128.6013888,벌-재래종,3
