Id,x,y,종
4331,35.3338086,128.3413471,붉나무
8460,37.8654744,127.6461186,주름잎
8472,36.954022,127.8155908,주름잎
8864,36.0697318,128.9922003,초피나무
534,35.9520031,128.8967307,감나무
1721,35.1198717,127.8975375,광대싸리
373,36.4593809,128.2678457,갈참나무
3717,36.4220469,129.1244183,밤나무
2373,36.6728078,128.2986089,누운주름잎
397,36.2342795,128.5875878,갈참나무
1431,37.1890654,129.0362358,고욤나무
536,37.2496686,129.0177973,감나무
6753,37.831802,126.8173464,애기똥풀
8513,36.2104078,128.1780511,주름잎
1026,36.0793691,127.9792429,개옻나무
2626,37.8624543,128.2199006,다래
1179,37.2625905,128.9111959,개옻나무
1179,37.2625905,128.9111959,개옻나무
545,33.2874612,126.5731538,개다래
4928,37.1536019,127.339438,산초나무
677,37.9220961,128.4038892,개다래
4000,37.2848222,127.0352449,붉나무
