Latitude,Longitude,축종,발생두수,ID,종,카운트
35.5990812,127.314855,벌-개량종,20,176,갈참나무,1
35.433975,127.6260086,벌-개량종,80,4569,산검양옻나무,1
35.2480059,126.9756866,벌-개량종,10,560,개다래,1
33.4778131,126.4518312,벌-개량종,1,542,개다래,1
35.0389006,126.9988465,벌-개량종,1,6809,애기똥풀,1
37.1519766,129.2868795,벌-개량종,35,8877,초피나무,1
33.4242628,126.4714854,벌-개량종,2,4685,산초나무,1
37.6110372,128.0775996,벌-개량종,62,8128,졸참나무,1
37.4945468,127.4887109,벌-개량종,2,3738,벼,1
37.429998,128.5534602,벌-개량종,15,680,개다래,1
35.9159246,126.6388464,벌-개량종,70,3306,밤나무,1
37.9307358,127.0322857,벌-개량종,2,1529,광대싸리,1
37.5126288,126.7989122,벌-개량종,10,80,갈참나무,1
36.9836032,128.468242,벌-개량종,1,385,갈참나무,1
37.2672498,128.9539575,벌-개량종,80,1179,개옻나무,1
37.2761431,128.4221375,벌-개량종,200,6617,아까시나무,1
35.5363475,126.8081715,벌-개량종,120,770,개옻나무,1
35.4196814,127.6117698,벌-개량종,16,500,감나무,1
35.9429234,128.9490738,벌-개량종,250,1178,개옻나무,1
37.4261432,126.9184737,벌-개량종,2,4819,산초나무,1
37.3312441,126.7691931,벌-개량종,2,3325,밤나무,1
35.4758135,126.7550335,벌-개량종,1,1252,고욤나무,1
37.2807191,127.5134139,벌-개량종,1,6911,애기똥풀,1
36.7563769,128.4246026,벌-개량종,70,391,갈참나무,1
38.1175251,127.7190584,벌-개량종,8,5067,산초나무,1
38.1933008,127.5902416,벌-개량종,10,6919,애기똥풀,1
38.0777327,127.519277,벌-개량종,5,5858,신갈나무,1
38.1220161,127.5227384,벌-개량종,10,6919,애기똥풀,1
37.0527052,128.1900586,벌-개량종,2,5575,상수리나무,1
37.5991199,127.5944092,벌-개량종,10,2550,다래,1
35.6305091,127.3303778,벌-개량종,60,8433,주름잎,1
35.7690276,128.6778895,벌-개량종,2,7687,족제비싸리,1
37.4788509,127.7376486,벌-개량종,32,6983,애기똥풀,1
38.0777327,127.519277,벌-개량종,7,5858,신갈나무,1
37.4338372,128.6710446,벌-개량종,500,7689,족제비싸리,1
37.5424933,127.6341394,벌-개량종,8,2136,굴참나무,1
35.3338086,128.3413471,벌-개량종,10,4331,붉나무,1
37.8654744,127.6461186,벌-개량종,30,8460,주름잎,1
36.954022,127.8155908,벌-개량종,100,8472,주름잎,1
36.0697318,128.9922003,벌-개량종,1,8864,초피나무,1
35.9520031,128.8967307,벌-개량종,400,534,감나무,1
35.1198717,127.8975375,벌-개량종,70,1721,광대싸리,1
36.4593809,128.2678457,벌-개량종,150,373,갈참나무,1
36.4220469,129.1244183,벌-개량종,83,3717,밤나무,1
36.6728078,128.2986089,벌-개량종,140,2373,누운주름잎,1
36.2342795,128.5875878,벌-개량종,1,397,갈참나무,1
37.1890654,129.0362358,벌-개량종,74,1431,고욤나무,1
37.2496686,129.0177973,벌-개량종,80,536,감나무,1
37.831802,126.8173464,벌-개량종,90,6753,애기똥풀,1
36.2104078,128.1780511,벌-개량종,80,8513,주름잎,2
36.0793691,127.9792429,벌-개량종,10,1026,개옻나무,1
37.8624543,128.2199006,벌-개량종,1,2626,다래,1
37.2625905,128.9111959,벌-개량종,5,1179,개옻나무,1
37.2625905,128.9111959,벌-개량종,17,1179,개옻나무,1
33.2874612,126.5731538,벌-개량종,1,545,개다래,1
37.1536019,127.339438,벌-개량종,1,4928,산초나무,1
37.9220961,128.4038892,벌-개량종,30,677,개다래,1
37.2848222,127.0352449,벌-개량종,3,4000,붉나무,1
