Latitude,Longitude,축종,발생두수,ID_tree,종,카운트,ID
37.4250014,128.2967109,벌-재래종,1,662,개다래,1,124
35.9213983,129.1566704,벌-재래종,10,7207,애기똥풀,1,125
37.2534286,128.726245,벌-재래종,3,1875,광대싸리,1,126
37.5019304,128.7080385,벌-재래종,5,2712,다래,1,127
34.8114222,126.9428825,벌-재래종,1,2880,떡갈나무,1,128
37.2534286,128.726245,벌-재래종,6,1875,광대싸리,1,129
37.4146192,128.8668205,벌-재래종,13,6102,신갈나무,1,130
37.7014855,127.8674722,벌-재래종,3,3597,밤나무,2,131
37.4048732,128.1453026,벌-재래종,1,6568,아까시나무,2,132
37.7120915,127.7440552,벌-재래종,2,4190,붉나무,1,133
37.8140141,128.1452309,벌-재래종,4,1048,개옻나무,1,134
37.0060873,128.9653695,벌-재래종,127,1891,광대싸리,1,135
36.4785066,129.1679121,벌-재래종,100,2743,다래,1,136
37.5019304,128.7080385,벌-재래종,17,2712,다래,1,137
36.4571359,129.3230741,벌-재래종,141,1925,광대싸리,1,138
37.3873252,128.6859393,벌-재래종,9,7689,족제비싸리,1,139
37.4515774,127.654413,벌-재래종,4,5915,신갈나무,1,140
36.5095472,129.0923238,벌-재래종,3,2743,다래,1,141
35.2075729,128.3702795,벌-재래종,31,8544,주름잎,1,142
36.9395486,128.7902001,벌-재래종,15,3142,떡갈나무,1,143
35.0286639,126.7526792,벌-재래종,1,4529,산검양옻나무,1,144
37.2597658,128.8729253,벌-재래종,1,6663,아까시나무,1,145
35.0160601,127.0127779,벌-재래종,1,6809,애기똥풀,1,146
35.0160601,127.0127779,벌-재래종,1,6809,애기똥풀,1,147
36.8561157,128.8395425,벌-재래종,32,7702,족제비싸리,1,148
37.4048732,128.1453026,벌-재래종,6,6568,아까시나무,2,149
37.9429407,127.4806675,벌-재래종,3,1630,광대싸리,1,150
37.3852166,128.3913906,벌-재래종,15,6601,아까시나무,1,151
37.0603106,128.3768758,벌-재래종,1,375,갈참나무,1,152
37.6011843,128.2265769,벌-재래종,7,656,개다래,1,153
37.9831858,127.7035317,벌-재래종,3,1702,광대싸리,1,154
36.7551344,128.1698493,벌-재래종,1,2623,다래,1,155
38.1886627,128.3651816,벌-재래종,5,7134,애기똥풀,1,156
36.7551344,128.1698493,벌-재래종,2,2623,다래,1,157
37.8107051,128.2724166,벌-재래종,1,7109,애기똥풀,1,158
37.348768,128.1604644,벌-재래종,2,5203,산초나무,1,159
37.8173563,128.0004157,벌-재래종,5,636,개다래,4,160
37.0603106,128.3768758,벌-재래종,1,375,갈참나무,1,161
36.7877626,129.2030091,벌-재래종,11,718,개다래,1,162
34.7128412,127.1870253,벌-재래종,1,2054,굴참나무,1,163
37.25075,128.6692609,벌-재래종,18,5271,산초나무,1,164
38.1681838,128.1786506,벌-재래종,7,5977,신갈나무,1,165
37.3909559,127.8008094,벌-재래종,1,4213,붉나무,1,166
34.7168052,127.1320597,벌-재래종,1,1550,광대싸리,1,167
36.8428925,128.5079335,벌-재래종,7,391,갈참나무,1,168
36.8581851,128.5151227,벌-재래종,7,391,갈참나무,1,169
37.497971,127.5050639,벌-재래종,2,3738,벼,1,170
36.6536828,128.9347622,벌-재래종,35,3704,밤나무,1,171
37.4358067,128.3992554,벌-재래종,1,3663,밤나무,1,172
37.9529831,128.1965588,벌-재래종,9,654,개다래,1,173
37.4358067,128.3992554,벌-재래종,1,3663,밤나무,1,174
36.5095472,129.0923238,벌-재래종,2,2743,다래,1,175
35.1414667,126.5323581,벌-재래종,1,447,감나무,1,176
