Id,x,y,종
6692,36.7403856,129.1983249,Apis cerana
5621,36.7181091,129.2462741,Apis cerana
648,38.1453645,128.1335981,Apis cerana
2743,36.4785066,129.1679121,Apis cerana
718,36.8167104,129.2501549,Apis cerana
5984,38.0087006,128.1617215,Apis cerana
8911,36.8144001,128.1482474,Apis cerana
6983,37.4472938,127.6700914,Apis cerana
629,37.8560252,127.8469846,Apis cerana
4266,37.6255406,127.93141,Apis cerana
1162,37.017043,128.8162766,Apis cerana
397,36.2954995,128.7889909,Apis cerana
947,37.4439367,127.6250917,Apis cerana
6983,37.4472938,127.6700914,Apis cerana
2743,36.4785066,129.1679121,Apis cerana
2158,37.5710458,127.6416006,Apis cerana
5984,38.0087006,128.1617215,Apis cerana
3597,37.7264197,127.9160954,Apis cerana
7719,36.2945638,129.0464878,Apis cerana
1310,37.6170662,127.4871263,Apis cerana
1162,37.017043,128.8162766,Apis cerana
718,36.7877626,129.2030091,Apis cerana
7551,35.1986439,127.4529926,Apis cerana
3738,37.497971,127.5050639,Apis cerana
6568,37.4615935,128.153439,Apis cerana
1882,36.9786453,128.85124,Apis cerana
2714,36.3321473,128.8067483,Apis cerana
2743,36.5095472,129.0923238,Apis cerana
1891,37.0060873,128.9653695,Apis cerana
535,36.2891333,128.8180761,Apis cerana
636,37.8303719,127.8955118,Apis cerana
1630,37.9429407,127.4806675,Apis cerana
662,37.4250014,128.2967109,Apis cerana
2623,36.7551344,128.1698493,Apis cerana
1925,36.4571359,129.3230741,Apis cerana
1925,36.4571359,129.3230741,Apis cerana
6983,37.5290575,127.8523294,Apis cerana
3630,37.2458153,128.045615,Apis cerana
3704,36.6496554,128.7873596,Apis cerana
5739,38.0412339,127.0393313,Apis cerana
1178,36.0053204,129.0451342,Apis cerana
6568,37.4615935,128.153439,Apis cerana
6568,37.4615935,128.153439,Apis cerana
7719,36.2945638,129.0464878,Apis cerana
1048,37.8140141,128.1452309,Apis cerana
2714,36.3321473,128.8067483,Apis cerana
1630,37.9429407,127.4806675,Apis cerana
2305,38.0019958,128.6187189,Apis cerana
3630,37.2458153,128.045615,Apis cerana
5203,37.348768,128.1604644,Apis cerana
1162,37.017043,128.8162766,Apis cerana
3704,36.6932767,128.7045904,Apis cerana
176,35.61436,127.2851097,Apis cerana
3001,36.6190338,127.5915186,Apis cerana
1162,37.017043,128.8162766,Apis cerana
8859,36.6966455,128.969731,Apis cerana
5230,36.9796571,128.3675653,Apis cerana
1048,37.8140141,128.1452309,Apis cerana
1048,37.8140141,128.1452309,Apis cerana
663,37.694464,128.2708307,Apis cerana
975,37.6644632,127.6998828,Apis cerana
1882,36.9786453,128.85124,Apis cerana
6568,37.4615935,128.153439,Apis cerana
802,37.3644088,127.1154987,Apis cerana
3704,36.630742,128.9132417,Apis cerana
662,37.4250014,128.2967109,Apis cerana
2712,37.5307719,128.7275235,Apis cerana
2641,38.1219556,128.3101926,Apis cerana
4805,37.7267059,126.9116461,Apis cerana
5915,37.4515774,127.654413,Apis cerana
3142,36.9395486,128.7902001,Apis cerana
3704,36.7047911,128.8286576,Apis cerana
6622,35.3241616,128.4270594,Apis cerana
1630,37.9429407,127.4806675,Apis cerana
662,37.4250014,128.2967109,Apis cerana
681,37.5048669,128.4671105,Apis cerana
2678,38.0807,128.5240511,Apis cerana
375,37.0603106,128.3768758,Apis cerana
5575,37.1278328,128.1395824,Apis cerana
2743,36.4785066,129.1679121,Apis cerana
648,38.1453645,128.1335981,Apis cerana
7126,38.0466608,128.3851271,Apis cerana
648,38.1453645,128.1335981,Apis cerana
375,37.0603106,128.3768758,Apis cerana
5575,37.1278328,128.1395824,Apis cerana
805,37.4094445,127.0721126,Apis cerana
1164,36.7900282,128.8422727,Apis cerana
7207,35.9213983,129.1566704,Apis cerana
2313,37.0186463,128.8734902,Apis cerana
662,37.4250014,128.2967109,Apis cerana
6921,37.5207478,127.506135,Apis cerana
3704,36.6583598,128.8915154,Apis cerana
8495,37.6760295,128.0480344,Apis cerana
1804,37.4684441,128.2208537,Apis cerana
1804,37.4684441,128.2208537,Apis cerana
975,37.6324523,127.7520913,Apis cerana
6910,37.7772913,127.4542677,Apis cerana
7704,37.1516128,128.8448938,Apis cerana
8484,38.2198155,127.7724077,Apis cerana
7719,36.3098164,129.0140533,Apis cerana
6118,36.2136951,129.0125484,Apis cerana
2743,36.4762887,129.1340697,Apis cerana
1167,36.9781712,128.9144704,Apis cerana
5203,37.348768,128.1604644,Apis cerana
7082,37.5570387,128.1853633,Apis cerana
6322,36.8621052,127.0313115,Apis cerana
7701,37.2220583,128.8218722,Apis cerana
2623,36.7551344,128.1698493,Apis cerana
2052,34.8171423,127.1199466,Apis cerana
5936,37.8932509,127.8039512,Apis cerana
7702,36.8004842,128.7944095,Apis cerana
5936,37.8932509,127.8039512,Apis cerana
7082,37.5933552,128.1664828,Apis cerana
1450,37.5066872,127.4717254,Apis cerana
391,36.8581851,128.5151227,Apis cerana
2375,36.9597995,128.5821026,Apis cerana
662,37.4250014,128.2967109,Apis cerana
375,37.0603106,128.3768758,Apis cerana
1550,34.7326998,127.1538776,Apis cerana
176,35.5798635,127.1981911,Apis cerana
1829,36.0555481,128.2571982,Apis cerana
7407,36.3667465,128.8419833,Apis cerana
1875,37.2534286,128.726245,Apis cerana
662,37.4250014,128.2967109,Apis cerana
7207,35.9213983,129.1566704,Apis cerana
1875,37.2534286,128.726245,Apis cerana
2712,37.5019304,128.7080385,Apis cerana
2880,34.8114222,126.9428825,Apis cerana
1875,37.2534286,128.726245,Apis cerana
6102,37.4146192,128.8668205,Apis cerana
3597,37.7014855,127.8674722,Apis cerana
6568,37.4048732,128.1453026,Apis cerana
4190,37.7120915,127.7440552,Apis cerana
1048,37.8140141,128.1452309,Apis cerana
1891,37.0060873,128.9653695,Apis cerana
2743,36.4785066,129.1679121,Apis cerana
2712,37.5019304,128.7080385,Apis cerana
1925,36.4571359,129.3230741,Apis cerana
7689,37.3873252,128.6859393,Apis cerana
5915,37.4515774,127.654413,Apis cerana
2743,36.5095472,129.0923238,Apis cerana
8544,35.2075729,128.3702795,Apis cerana
3142,36.9395486,128.7902001,Apis cerana
4529,35.0286639,126.7526792,Apis cerana
6663,37.2597658,128.8729253,Apis cerana
6809,35.0160601,127.0127779,Apis cerana
6809,35.0160601,127.0127779,Apis cerana
7702,36.8561157,128.8395425,Apis cerana
6568,37.4048732,128.1453026,Apis cerana
1630,37.9429407,127.4806675,Apis cerana
6601,37.3852166,128.3913906,Apis cerana
375,37.0603106,128.3768758,Apis cerana
656,37.6011843,128.2265769,Apis cerana
1702,37.9831858,127.7035317,Apis cerana
2623,36.7551344,128.1698493,Apis cerana
7134,38.1886627,128.3651816,Apis cerana
2623,36.7551344,128.1698493,Apis cerana
7109,37.8107051,128.2724166,Apis cerana
5203,37.348768,128.1604644,Apis cerana
636,37.8173563,128.0004157,Apis cerana
375,37.0603106,128.3768758,Apis cerana
718,36.7877626,129.2030091,Apis cerana
2054,34.7128412,127.1870253,Apis cerana
5271,37.25075,128.6692609,Apis cerana
5977,38.1681838,128.1786506,Apis cerana
4213,37.3909559,127.8008094,Apis cerana
1550,34.7168052,127.1320597,Apis cerana
391,36.8428925,128.5079335,Apis cerana
391,36.8581851,128.5151227,Apis cerana
3738,37.497971,127.5050639,Apis cerana
3704,36.6536828,128.9347622,Apis cerana
3663,37.4358067,128.3992554,Apis cerana
654,37.9529831,128.1965588,Apis cerana
3663,37.4358067,128.3992554,Apis cerana
2743,36.5095472,129.0923238,Apis cerana
447,35.1414667,126.5323581,Apis cerana
2305,38.0019958,128.6187189,Apis cerana
4217,35.8869663,127.8205443,Apis cerana
3151,36.9256095,128.9603713,Apis cerana
7113,37.5631941,128.3127372,Apis cerana
2714,36.3321473,128.8067483,Apis cerana
5271,37.2237462,128.6427344,Apis cerana
2591,38.1700928,127.7093384,Apis cerana
4110,37.5893415,127.4947634,Apis cerana
5230,36.9796571,128.3675653,Apis cerana
4043,35.7070291,127.1532238,Apis cerana
2517,37.5558764,127.5817911,Apis cerana
6118,36.3351104,128.9174135,Apis cerana
1550,34.7040567,127.1445908,Apis cerana
5230,36.9796571,128.3675653,Apis cerana
4217,35.8869663,127.8205443,Apis cerana
4217,35.8869663,127.8205443,Apis cerana
33,37.7979718,126.3953013,Apis cerana
1868,37.1919741,128.5989961,Apis cerana
7113,37.5690079,128.3547193,Apis cerana
6601,37.3628576,128.4182448,Apis cerana
5984,38.0087006,128.1617215,Apis cerana
3597,37.6147161,127.8863288,Apis cerana
7126,37.9993658,128.3250403,Apis cerana
7126,38.0466608,128.3851271,Apis cerana
1048,37.8140141,128.1452309,Apis cerana
7463,37.3411588,126.7220994,Apis cerana
1630,37.9429407,127.4806675,Apis cerana
1630,37.9429407,127.4806675,Apis cerana
176,35.5646226,127.1343061,Apis cerana
2714,36.3321473,128.8067483,Apis cerana
4805,37.7267059,126.9116461,Apis cerana
1550,34.7026119,127.1659258,Apis cerana
2832,34.3936351,126.5418454,Apis cerana
4266,37.6020683,127.9591221,Apis cerana
2743,36.4785066,129.1679121,Apis cerana
4249,36.9635809,127.9320017,Apis cerana
6118,36.3231567,128.8736824,Apis cerana
2714,36.3321473,128.8067483,Apis cerana
749,35.2867911,126.5237272,Apis cerana
7574,35.0878407,127.6114145,Apis cerana
7574,35.0878407,127.6114145,Apis cerana
193,35.1849378,127.3547925,Apis cerana
2743,36.4785066,129.1679121,Apis cerana
7463,37.3411588,126.7220994,Apis cerana
2517,37.5558764,127.5817911,Apis cerana
652,37.2772238,128.1975847,Apis cerana
193,35.121549,127.3677518,Apis cerana
6118,36.3231567,128.8736824,Apis cerana
1925,36.4571359,129.3230741,Apis cerana
7631,35.2053772,128.1165386,Apis cerana
3704,36.7047911,128.8286576,Apis cerana
2678,38.0375603,128.5476157,Apis cerana
6568,37.4048732,128.1453026,Apis cerana
198,36.2648464,127.404001,Apis cerana
2714,36.3321473,128.8067483,Apis cerana
4213,37.3526611,127.8023805,Apis cerana
1550,34.7040567,127.1445908,Apis cerana
1550,34.7040567,127.1445908,Apis cerana
654,37.9529831,128.1965588,Apis cerana
654,37.9529831,128.1965588,Apis cerana
5131,37.8059381,127.8497773,Apis cerana
4190,37.7120915,127.7440552,Apis cerana
7082,37.5933552,128.1664828,Apis cerana
636,37.8228476,127.9549594,Apis cerana
5131,37.8059381,127.8497773,Apis cerana
6868,35.6899474,127.3178602,Apis cerana
6601,37.3728454,128.4052788,Apis cerana
176,35.6019213,127.1434343,Apis cerana
7113,37.5631941,128.3127372,Apis cerana
7453,34.4439909,126.5877817,Apis cerana
7463,37.3411588,126.7220994,Apis cerana
2158,37.5710458,127.6416006,Apis cerana
636,37.8173563,128.0004157,Apis cerana
6562,37.7410335,128.0839616,Apis cerana
2253,38.1922602,128.1994956,Apis cerana
1775,37.9478221,128.142228,Apis cerana
4190,37.7120915,127.7440552,Apis cerana
975,37.6518777,127.74339,Apis cerana
975,37.6324523,127.7520913,Apis cerana
3704,36.6536828,128.9347622,Apis cerana
2678,38.0834935,128.4610259,Apis cerana
6562,37.7953885,128.0466435,Apis cerana
4213,37.4405188,127.8508915,Apis cerana
1450,37.5066872,127.4717254,Apis cerana
8433,35.5988084,127.3825703,Apis cerana
2684,37.50515,128.6013888,Apis cerana
2714,36.3321473,128.8067483,Apis cerana
7011,35.2714721,127.8166414,Apis cerana
6568,37.4351307,128.1088047,Apis cerana
8859,36.6966455,128.969731,Apis cerana
1891,37.0060873,128.9653695,Apis cerana
1882,36.9225591,128.8623667,Apis cerana
7113,37.5631941,128.3127372,Apis cerana
7113,37.5631941,128.3127372,Apis cerana
1875,37.2534286,128.726245,Apis cerana
5977,38.1681838,128.1786506,Apis cerana
4118,35.6990304,127.590711,Apis cerana
3640,37.7356068,128.2378592,Apis cerana
6888,35.2202574,127.3881185,Apis cerana
6601,37.3728454,128.4052788,Apis cerana
7701,37.2220583,128.8218722,Apis cerana
6663,37.2597658,128.8729253,Apis cerana
1550,34.7026119,127.1659258,Apis cerana
1550,34.7026119,127.1659258,Apis cerana
213,34.4608019,127.4680798,Apis cerana
447,35.1749839,126.5409272,Apis cerana
1550,34.7026119,127.1659258,Apis cerana
1550,34.7026119,127.1659258,Apis cerana
