Source,Target,Weight
648,648,0.0
648,648,0.0
375,375,0.0
375,375,0.0
375,375,0.0
7207,7207,0.0
7207,7207,0.0
2313,2313,0.0
662,662,0.0
662,662,0.0
662,662,0.0
662,662,0.0
3704,3704,0.0
3704,3704,0.0
8495,8495,0.0
1804,1804,0.0
1804,1804,0.0
1804,1804,0.0
975,975,0.0
975,975,0.0
6118,6118,0.0
6118,6118,0.0
6118,6118,0.0
2743,2743,0.0
1167,1167,0.0
1167,1167,0.0
1167,1167,0.0
5203,5203,0.0
5203,5203,0.0
7701,7701,0.0
7701,7701,0.0
2623,2623,0.0
2623,2623,0.0
2623,2623,0.0
5936,5936,0.0
7702,7702,0.0
7702,7702,0.0
7702,7702,0.0
7082,7082,0.0
1450,1450,0.0
391,391,0.0
662,662,0.0
662,662,0.0
662,662,0.0
375,375,0.0
375,375,0.0
1550,1550,0.0
176,176,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
662,662,0.0
662,662,0.0
7207,7207,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
2712,2712,0.0
2712,2712,0.0
2712,2712,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
1875,1875,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
4190,4190,0.0
1048,1048,0.0
1048,1048,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
1891,1891,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2743,2743,0.0
2712,2712,0.0
2712,2712,0.0
1925,1925,0.0
1925,1925,0.0
1925,1925,0.0
5915,5915,0.0
2743,2743,0.0
3142,3142,0.0
3142,3142,0.0
6663,6663,0.0
6809,6809,0.0
6809,6809,0.0
6809,6809,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
6568,6568,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
6601,6601,0.0
375,375,0.0
656,656,0.0
656,656,0.0
656,656,0.0
656,656,0.0
2623,2623,0.0
2623,2623,0.0
7134,7134,0.0
7134,7134,0.0
7134,7134,0.0
2623,2623,0.0
7109,7109,0.0
7109,7109,0.0
5203,5203,0.0
636,636,0.0
718,718,0.0
718,718,0.0
718,718,0.0
718,718,0.0
2054,2054,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
5977,5977,0.0
3738,3738,0.0
3738,3738,0.0
3738,3738,0.0
3704,3704,0.0
3663,3663,0.0
654,654,0.0
654,654,0.0
654,654,0.0
654,654,0.0
4217,4217,0.0
4217,4217,0.0
3151,3151,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
7113,7113,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
2714,2714,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
4110,4110,0.0
5230,5230,0.0
5230,5230,0.0
4043,4043,0.0
2517,2517,0.0
2517,2517,0.0
2517,2517,0.0
2517,2517,0.0
2517,2517,0.0
6118,6118,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
1550,1550,0.0
5230,5230,0.0
4217,4217,0.0
33,33,0.0
6601,6601,0.0
6601,6601,0.0
5984,5984,0.0
5984,5984,0.0
3597,3597,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
7126,7126,0.0
1048,1048,0.0
7463,7463,0.0
7463,7463,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
1630,1630,0.0
