,nearby_id_1,nearby_id_2,nearby_id_3,nearby_id_4,nearby_id_5,nearby_id_6,nearby_id_7,nearby_id_8,nearby_id_9,nearby_id_10,nearby_id_11,nearby_id_12,nearby_id_13,nearby_id_14,nearby_id_15,nearby_id_16,nearby_id_17,nearby_id_18,nearby_id_19,nearby_id_20,nearby_id_21,nearby_id_22,nearby_id_23,nearby_id_24,nearby_id_25,nearby_id_26,nearby_id_27,nearby_id_28
50,11.0,21.0,26.0,55.0,62.0,89.0,311.0,336.0,351.0,376.0,408.0,409.0,522.0,530.0,553.0,572.0,574.0,588.0,594.0,610.0,611.0,691.0,722.0,805.0,1063.0,,,
51,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,645.0,659.0,672.0,677.0,,,,,,,,,,,,,,,,,,,,,,,,
53,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,11.0,21.0,26.0,51.0,62.0,89.0,311.0,336.0,351.0,376.0,408.0,409.0,522.0,530.0,553.0,572.0,574.0,588.0,594.0,610.0,611.0,691.0,722.0,805.0,1063.0,,,
55,171.0,256.0,266.0,596.0,620.0,674.0,,,,,,,,,,,,,,,,,,,,,,
56,185.0,190.0,727.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,45.0,59.0,134.0,201.0,414.0,515.0,914.0,947.0,1074.0,,,,,,,,,,,,,,,,,,,
58,45.0,58.0,134.0,201.0,414.0,515.0,914.0,947.0,1074.0,,,,,,,,,,,,,,,,,,,
59,274.0,542.0,766.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,
60,96.0,254.0,255.0,800.0,930.0,936.0,974.0,1003.0,1100.0,,,,,,,,,,,,,,,,,,,
61,11.0,21.0,26.0,51.0,55.0,89.0,103.0,311.0,351.0,376.0,408.0,409.0,522.0,530.0,553.0,559.0,569.0,572.0,574.0,588.0,594.0,610.0,611.0,691.0,722.0,754.0,805.0,1063.0
62,25.0,42.0,43.0,265.0,396.0,412.0,460.0,481.0,504.0,506.0,532.0,543.0,570.0,608.0,636.0,,,,,,,,,,,,,
63,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,92.0,171.0,256.0,334.0,573.0,1005.0,,,,,,,,,,,,,,,,,,,,,,
65,33.0,75.0,90.0,117.0,124.0,992.0,1056.0,,,,,,,,,,,,,,,,,,,,,
66,127.0,137.0,335.0,368.0,803.0,,,,,,,,,,,,,,,,,,,,,,,
67,457.0,471.0,984.0,985.0,,,,,,,,,,,,,,,,,,,,,,,,
68,207.0,286.0,624.0,902.0,,,,,,,,,,,,,,,,,,,,,,,,
69,8.0,13.0,14.0,140.0,318.0,497.0,650.0,684.0,759.0,1081.0,,,,,,,,,,,,,,,,,,
70,143.0,362.0,673.0,690.0,838.0,847.0,955.0,1048.0,,,,,,,,,,,,,,,,,,,,
71,227.0,358.0,587.0,670.0,883.0,,,,,,,,,,,,,,,,,,,,,,,
