Latitude,Longitude,축종,발생두수,ID
36.7403856,129.1983249,벌-재래종,7,1
36.7181091,129.2462741,벌-재래종,3,2
38.1453645,128.1335981,벌-재래종,4,3
36.1533392,128.6041672,벌-개량종,20,4
36.4785066,129.1679121,벌-재래종,107,5
37.4679821,128.7981629,벌-개량종,250,6
36.8167104,129.2501549,벌-재래종,2,7
38.0087006,128.1617215,벌-재래종,4,8
36.3371588,127.8960781,벌-개량종,150,9
36.8144001,128.1482474,벌-재래종,18,10
37.4472938,127.6700914,벌-재래종,6,11
37.8560252,127.8469846,벌-재래종,26,12
37.6255406,127.93141,벌-재래종,1,13
37.017043,128.8162766,벌-재래종,2,14
37.1712746,128.9669333,벌-개량종,230,15
36.2954995,128.7889909,벌-재래종,3,16
36.7551344,128.1698493,벌-개량종,63,17
37.4439367,127.6250917,벌-재래종,2,18
37.4472938,127.6700914,벌-재래종,4,19
36.4785066,129.1679121,벌-재래종,107,20
37.5710458,127.6416006,벌-재래종,7,21
38.0087006,128.1617215,벌-재래종,1,22
37.7264197,127.9160954,벌-재래종,1,23
36.2945638,129.0464878,벌-재래종,9,24
37.6170662,127.4871263,벌-재래종,1,25
37.017043,128.8162766,벌-재래종,2,26
36.7877626,129.2030091,벌-재래종,4,27
35.1986439,127.4529926,벌-재래종,106,28
35.6789038,129.4305092,벌-개량종,7,29
35.6789038,129.4305092,벌-개량종,7,30
37.9018596,126.8377851,벌-개량종,1,31
37.497971,127.5050639,벌-재래종,9,32
37.4615935,128.153439,벌-재래종,1,33
36.9786453,128.85124,벌-재래종,60,34
36.3321473,128.8067483,벌-재래종,1,35
36.5095472,129.0923238,벌-재래종,8,36
37.0060873,128.9653695,벌-재래종,6,37
36.2891333,128.8180761,벌-재래종,2,38
37.8303719,127.8955118,벌-재래종,1,39
37.9429407,127.4806675,벌-재래종,7,40
37.4250014,128.2967109,벌-재래종,1,41
36.7551344,128.1698493,벌-재래종,1,42
36.4571359,129.3230741,벌-재래종,195,43
36.4571359,129.3230741,벌-재래종,127,44
37.5290575,127.8523294,벌-재래종,1,45
37.178741,127.5891868,벌-개량종,5,46
37.2458153,128.045615,벌-재래종,1,47
36.6496554,128.7873596,벌-재래종,4,48
38.0412339,127.0393313,벌-재래종,1,49
36.0053204,129.0451342,벌-재래종,6,50
37.4615935,128.153439,벌-재래종,2,51
